Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 F:_4 sel(B):_5 dead(B):_5 retain(B):_5 sel(N):_5 dead(N):_5 retain(N):_5 obs_cat:_5 F:_5 SSB_vir_LH ABC_buffer
1 1930 TIME 1 1685.97 1667.45 979.152 714.195  979.152  1149.79 517.657  1041.34 821.116  0.48 0.48 0.48 0.339177 0.339177 0.339177 0.48 0.000322471  0 0 0 0 0 0 0 0  1.55 1.55 1.55 1.19034 1.19034 1.19034 1.55 0.00110631  2.2 2.2 2.2 1.01116 1.01116 1.01116 2.2 0.00256881  0 0 0 0 0 0 0 0 979.152 NA
1 1931 TIME 1 1683.77 1665.24 977.376 714.055  977.376  1147.96 517.285  1040.52 820.743  0.52 0.52 0.52 0.367629 0.367629 0.367629 0.52 0.000349941  0 0 0 0 0 0 0 0  2.07 2.07 2.07 1.5907 1.5907 1.5907 2.07 0.00148005  2.93 2.93 2.93 1.34728 1.34728 1.34728 2.93 0.0034287  0 0 0 0 0 0 0 0 977.376 NA
1 1932 TIME 1 1680.81 1662.28 975.024 713.869  975.024  1145.52 516.759  1039.4 820.202  2.16 2.16 2.16 1.52811 1.52811 1.52811 2.16 0.00145745  0 0 0 0 0 0 0 0  2.58 2.58 2.58 1.98439 1.98439 1.98439 2.58 0.00184967  3.66 3.66 3.66 1.68393 1.68393 1.68393 3.66 0.00429702  0 0 0 0 0 0 0 0 975.024 NA
1 1933 TIME 1 1675.76 1657.24 971.195 713.565  971.195  1141.53 515.711  1037.47 819.11  1.94 1.94 1.94 1.37369 1.37369 1.37369 1.94 0.00131348  0 0 0 0 0 0 0 0  3.1 3.1 3.1 2.38715 2.38715 2.38715 3.1 0.00223019  4.39 4.39 4.39 2.02131 2.02131 2.02131 4.39 0.00517592  0 0 0 0 0 0 0 0 971.195 NA
1 1934 TIME 1 1670.53 1652.02 967.154 713.241  967.154  1137.35 514.676  1035.54 818.066  2.42 2.42 2.42 1.71536 1.71536 1.71536 2.42 0.00164458  0 0 0 0 0 0 0 0  3.62 3.62 3.62 2.79131 2.79131 2.79131 3.62 0.00261421  5.12 5.12 5.12 2.35952 2.35952 2.35952 5.12 0.00606502  0 0 0 0 0 0 0 0 967.154 NA
1 1935 TIME 1 1664.56 1646.06 962.551 712.869  962.551  1132.58 513.483  1033.33 816.841  4.81 4.81 4.81 3.41369 3.41369 3.41369 4.81 0.00328439  0 0 0 0 0 0 0 0  4.13 4.13 4.13 3.18973 3.18973 3.18973 4.13 0.00299701  5.86 5.86 5.86 2.70341 2.70341 2.70341 5.86 0.00698279  0 0 0 0 0 0 0 0 962.551 NA
1 1936 TIME 1 1656.24 1637.75 956.303 712.36  956.303  1126.06 511.685  1030.19 814.981  8.5 8.5 8.5 6.04291 6.04291 6.04291 8.5 0.0058474  0 0 0 0 0 0 0 0  5.8 5.8 5.8 4.49007 4.49007 4.49007 5.8 0.00424074  8.23 8.23 8.23 3.8022 3.8022 3.8022 8.23 0.00989572  0 0 0 0 0 0 0 0 956.303 NA
1 1937 TIME 1 1642.38 1623.9 946.021 711.508  946.021  1115.31 508.593  1024.88 811.782  3.79 3.79 3.79 2.69976 2.69976 2.69976 3.79 0.0026251  0 0 0 0 0 0 0 0  5.01 5.01 5.01 3.88841 3.88841 3.88841 5.01 0.0036887  7.11 7.11 7.11 3.29021 3.29021 3.29021 7.11 0.00862327  0 0 0 0 0 0 0 0 946.021 NA
1 1938 TIME 1 1636.11 1617.65 940.944 711.082  940.944  1110.18 507.472  1022.89 810.781  2.51 2.51 2.51 1.79186 1.79186 1.79186 2.51 0.00175018  0 0 0 0 0 0 0 0  9.59 9.59 9.59 7.46275 7.46275 7.46275 9.59 0.00710951  13.59 13.59 13.59 6.30107 6.30107 6.30107 13.59 0.0166278  0 0 0 0 0 0 0 0 940.944 NA
1 1939 TIME 1 1622.84 1604.4 930.57 710.197  930.57  1099.4 505.004  1017.76 808.106  1.86 1.86 1.86 1.33057 1.33057 1.33057 1.86 0.00130394  0 0 0 0 0 0 0 0  5.45 5.45 5.45 4.25143 4.25143 4.25143 5.45 0.00406294  7.73 7.73 7.73 3.59107 3.59107 3.59107 7.73 0.00952844  0 0 0 0 0 0 0 0 930.57 NA
1 1940 TIME 1 1620.23 1601.81 928.199 709.993  928.199  1097.07 504.745  1017.22 807.938  1.54 1.54 1.54 1.10321 1.10321 1.10321 1.54 0.00108309  0 0 0 0 0 0 0 0  7.97 7.97 7.97 6.22695 6.22695 6.22695 7.97 0.00596165  11.29 11.29 11.29 5.25269 5.25269 5.25269 11.29 0.013982  0 0 0 0 0 0 0 0 928.199 NA
1 1941 TIME 1 1613.43 1595.02 922.81 709.524  922.81  1091.44 503.572  1014.55 806.53  6.14 6.14 6.14 4.40173 4.40173 4.40173 6.14 0.00432828  0 0 0 0 0 0 0 0  7.09 7.09 7.09 5.54406 5.54406 5.54406 7.09 0.00531604  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 922.81 NA
1 1942 TIME 1 1613.02 1594.62 923.159 709.554  923.159  1091.67 502.949  1014.41 805.712  1.06 1.06 1.06 0.759617 0.759617 0.759617 1.06 0.000746211  0 0 0 0 0 0 0 0  7.09 7.09 7.09 5.541 5.541 5.541 7.09 0.00530867  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 923.159 NA
1 1943 TIME 1 1617.15 1598.74 926.49 709.844  926.49  1095.1 503.639  1016.02 806.299  3.48 3.48 3.48 2.49222 2.49222 2.49222 3.48 0.00244494  0 0 0 0 0 0 0 0  7.09 7.09 7.09 5.53619 5.53619 5.53619 7.09 0.00529785  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 926.49 NA
1 1944 TIME 1 1618.59 1600.18 928.039 709.979  928.039  1096.58 503.597  1016.41 806.12  1.79 1.79 1.79 1.2811 1.2811 1.2811 1.79 0.00125577  0 0 0 0 0 0 0 0  7.09 7.09 7.09 5.53208 5.53208 5.53208 7.09 0.00528979  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 928.039 NA
1 1945 TIME 1 1621.28 1602.87 930.313 710.175  930.313  1098.9 503.968  1017.42 806.513  1.99 1.99 1.99 1.42331 1.42331 1.42331 1.99 0.00139376  0 0 0 0 0 0 0 0  7.09 7.09 7.09 5.52788 5.52788 5.52788 7.09 0.00528066  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 930.313 NA
1 1946 TIME 1 1623.41 1604.99 932.135 710.332  932.135  1100.76 504.233  1018.19 806.797  3.61 3.61 3.61 2.58065 2.58065 2.58065 3.61 0.00252622  0 0 0 0 0 0 0 0  7.09 7.09 7.09 5.52482 5.52482 5.52482 7.09 0.00527581  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 932.135 NA
1 1947 TIME 1 1623.78 1605.35 932.689 710.379  932.689  1101.29 504.064  1018.27 806.647  2.09 2.09 2.09 1.49639 1.49639 1.49639 2.09 0.00147785  0 0 0 0 0 0 0 0  28.15 28.15 28.15 21.9895 21.9895 21.9895 28.15 0.0211669  17.08 17.08 17.08 7.94503 7.94503 7.94503 17.08 0.0212524  0 0 0 0 0 0 0 0 932.689 NA
1 1948 TIME 1 1593.24 1574.83 910.316 708.419  910.316  1077.54 497.283  1005.35 799.144  3.79 3.79 3.79 2.72686 2.72686 2.72686 3.79 0.00274696  0 0 0 0 0 0 0 0  37.7 37.7 37.7 29.6606 29.6606 29.6606 37.7 0.0290628  20.94 20.94 20.94 9.7774 9.7774 9.7774 20.94 0.026825  0 0 0 0 0 0 0 0 910.316 NA
1 1949 TIME 1 1553.13 1534.77 880.728 705.691  880.728  1046.46 488.312  989.479 789.8  7.42 7.42 7.42 5.37242 5.37242 5.37242 7.42 0.00552457  0 0 0 0 0 0 0 0  34.5 34.5 34.5 27.3827 27.3827 27.3827 34.5 0.0273297  19.65 19.65 19.65 9.22102 9.22102 9.22102 19.65 0.0260087  0 0 0 0 0 0 0 0 880.728 NA
