Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 Hrate:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 Hrate:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 Hrate:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 Hrate:_4 sel(B):_5 dead(B):_5 retain(B):_5 sel(N):_5 dead(N):_5 retain(N):_5 obs_cat:_5 Hrate:_5 SSB_vir_LH ABC_buffer
1 1929 TIME 1 177813 169809 87228.9 48777.7  87228.9  97698.5 72110.9  102699 92297.3  23.596 23.596 23.36 20.5293 20.5293 20.324 23.36 0.000167568  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  64.0429 64.0429 63.4 59.5889 59.5889 58.9907 63.4 0.000426962 87228.9 NA
1 1930 TIME 1 177672 169680 87168 48677.4  87168  97625.9 72054.5  102607 92213.6  21.0101 21.0101 20.8 18.2785 18.2785 18.0957 20.8 0.00014931  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  92.4885 92.4885 91.56 86.0496 86.0496 85.1857 91.56 0.000617052 87168 NA
1 1931 TIME 1 177494 169517 87089.4 48565.5  87089.4  97533.7 71983.5  102495 92111.7  20.596 20.596 20.39 17.9171 17.9171 17.738 20.39 0.000146499  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  80.3264 80.3264 79.52 74.7284 74.7284 73.9782 79.52 0.000536409 87089.4 NA
1 1932 TIME 1 177318 169357 87013.9 48442  87013.9  97443.6 71913.2  102381 92007.5  22.3535 22.3535 22.13 19.4448 19.4448 19.2503 22.13 0.00015914  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  78.7506 78.7506 77.96 73.2553 73.2553 72.5199 77.96 0.000526362 87013.9 NA
1 1933 TIME 1 177128 169185 86933.5 48305.3  86933.5  97347.1 71837.5  102257 91893.9  34.8788 34.8788 34.53 30.3376 30.3376 30.0343 34.53 0.000248542  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  51.8606 51.8606 51.34 48.2363 48.2363 47.7521 51.34 0.000346968 86933.5 NA
1 1934 TIME 1 176937 169013 86855 48154.5  86855  97251.4 71761.3  102128 91775.7  31 31 30.69 26.9612 26.9612 26.6916 30.69 0.000221104  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  60.8408 60.8408 60.23 56.581 56.581 56.013 60.23 0.000407438 86855 NA
1 1935 TIME 1 176722 168819 86767.2 47987.1  86767.2  97143.8 71675.4  101983 91642.3  30.0606 30.0606 29.76 26.1411 26.1411 25.8797 29.76 0.000214624  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  69.0532 69.0532 68.36 64.208 64.208 63.5635 68.36 0.000462933 86767.2 NA
1 1936 TIME 1 176479 168600 86667.6 47800.7  86667.6  97022 71578.1  101819 91491.8  25.4242 25.4242 25.17 22.1062 22.1062 21.8851 25.17 0.000181733  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  86.3468 86.3468 85.48 80.2734 80.2734 79.4675 85.48 0.000579577 86667.6 NA
1 1937 TIME 1 176201 168349 86552.5 47592.4  86552.5  96882.1 71466.5  101634 91320.9  36.2525 36.2525 35.89 31.5165 31.5165 31.2013 35.89 0.000259485  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  68.3158 68.3158 67.63 63.4976 63.4976 62.8602 67.63 0.000459198 86552.5 NA
1 1938 TIME 1 175905 168082 86431.6 47359.2  86431.6  96734.2 71347.8  101434 91137.2  33.6061 33.6061 33.27 29.2106 29.2106 28.9185 33.27 0.000240885  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  51.0727 51.0727 50.56 47.4596 47.4596 46.9832 50.56 0.000343808 86431.6 NA
