year,recruits
1977,106962
1978,119916
1979,127793
1980,113071
1981,104665
1982,98061
1983,89764
1984,109819
1985,139528
1986,136307
1987,208062
1988,100840
1989,86682
1990,93963
1991,100920
1992,82595
1993,72409
1994,107671
1995,139538
1996,137186
1997,153088
1998,171682
1999,221981
2000,107992
2001,62825
2002,62512
2003,112056
2004,139592
2005,126834
2006,71533
2007,59389
2008,58535
2009,98832
2010,157376
2011,226533
2012,138936
2013,84364
2014,127100
2015,113609
2016,122753
2017,131118
