year,recruits
1960,32438
1961,48406
1962,86664
1963,184864
1964,383089
1965,424147
1966,231398
1967,108699
1968,58807
1969,39037
1970,32273
1971,32891
1972,41351
1973,65614
1974,127860
1975,227332
1976,161443
1977,105778
1978,58484
1979,20148
1980,6969
1981,1164
1982,2119
1983,3480
1984,6698
1985,22414
1986,5789
1987,6158
1988,6336
1989,16992
1990,4188
1991,1196
1992,762
1993,600
1994,934
1995,3785
1996,1653
1997,1632
1998,2095
1999,8208
2000,9512
2001,11705
2002,1714
2003,600
2004,492
2005,695
2006,6119
2007,18415
2008,42573
2009,26270
2010,4557
2011,3134
2012,1201
2013,1129
2014,909
2015,1066
2016,1136
2017,1347
2018,2162
2019,4997
2020,6838
