Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  Spbio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 F:_4 sel(B):_5 dead(B):_5 retain(B):_5 sel(N):_5 dead(N):_5 retain(N):_5 obs_cat:_5 F:_5 SPB_vir_LH
1 1913 VIRG 1 1426.28 1426.28 396.625 1451.17  396.625  645.31 780.967  2400.02 2666.21 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  396.625
1 1914 INIT 1 1426.28 1426.28 396.625 1451.17  396.625  645.31 780.967  2400.02 2666.21  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 396.625
1 1915 TIME 1 1426.28 1426.28 396.625 1451.21  396.625  645.31 780.967  2400.04 2666.23  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.26097 4.26097 4.26097 1.72944 0.00745861  1.69998 1.69998 1.69998 4.9314 4.9314 4.9314 1.7 0.217048  0 0 0 0 0 0 0 0 396.625
1 1916 TIME 1 1422.91 1422.91 395.565 1450.79  395.565  643.8 779.106  2396.34 2661.81  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.62771 1.62771 1.62771 4.0114 4.0114 4.0114 1.62771 0.00703542  1.59998 1.59998 1.59998 4.64322 4.64322 4.64322 1.6 0.204702  0 0 0 0 0 0 0 0 395.565
1 1917 TIME 1 1420.28 1420.28 394.642 1450.43  394.642  642.639 777.645  2393.78 2658.66  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.62771 1.62771 1.62771 4.01282 4.01282 4.01282 1.62771 0.00704771  1.59998 1.59998 1.59998 4.64529 4.64529 4.64529 1.6 0.20503  0 0 0 0 0 0 0 0 394.642
1 1918 TIME 1 1418.14 1418.14 393.857 1450.12  393.857  641.704 776.439  2391.84 2656.21  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.52598 1.52598 1.52598 3.76334 3.76334 3.76334 1.52598 0.00661632  1.59998 1.59998 1.59998 4.6472 4.6472 4.6472 1.6 0.205287  0 0 0 0 0 0 0 0 393.857
1 1919 TIME 1 1416.52 1416.52 393.25 1449.87  393.25  641.004 775.511  2390.46 2654.42  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.9329 1.9329 1.9329 4.76827 4.76827 4.76827 1.93291 0.00839159  1.79998 1.79998 1.79998 5.22977 5.22977 5.22977 1.8 0.231228  0 0 0 0 0 0 0 0 393.25
1 1920 TIME 1 1414.64 1414.64 392.585 1449.61  392.585  640.193 774.442  2388.76 2652.26  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.13637 2.13637 2.13637 5.2717 5.2717 5.2717 2.13637 0.00928795  1.99997 1.99997 1.99997 5.81279 5.81279 5.81279 2 0.257257  0 0 0 0 0 0 0 0 392.585
1 1921 TIME 1 1412.73 1412.73 391.916 1449.34  391.916  639.371 773.357  2387.02 2650.05  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.22078 1.22078 1.22078 3.01344 3.01344 3.01344 1.22078 0.00531076  1.29998 1.29998 1.29998 3.77987 3.77987 3.77987 1.3 0.167302  0 0 0 0 0 0 0 0 391.916
1 1922 TIME 1 1412.78 1412.78 391.862 1449.32  391.862  639.427 773.35  2387.43 2650.4  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.22078 1.22078 1.22078 3.01391 3.01391 3.01391 1.22078 0.00530993  1.09999 1.09999 1.09999 3.19877 3.19877 3.19877 1.1 0.141538  0 0 0 0 0 0 0 0 391.862
1 1923 TIME 1 1413.09 1413.09 391.945 1449.35  391.945  639.592 773.494  2387.96 2650.94  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.42425 1.42425 1.42425 3.51634 3.51634 3.51634 1.42425 0.00619448  1.29998 1.29998 1.29998 3.78035 3.78035 3.78035 1.3 0.167263  0 0 0 0 0 0 0 0 391.945
1 1924 TIME 1 1412.98 1412.98 391.927 1449.35  391.927  639.563 773.418  2387.91 2650.84  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.52598 1.52598 1.52598 3.76756 3.76756 3.76756 1.52598 0.0066382  1.49998 1.49998 1.49998 4.36197 4.36197 4.36197 1.5 0.193033  0 0 0 0 0 0 0 0 391.927
1 1925 TIME 1 1412.6 1412.6 391.821 1449.3  391.821  639.407 773.196  2387.54 2650.35  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.62771 1.62771 1.62771 4.01887 4.01887 4.01887 1.62771 0.00708312  1.59998 1.59998 1.59998 4.65298 4.65298 4.65298 1.6 0.205968  0 0 0 0 0 0 0 0 391.821
1 1926 TIME 1 1412.09 1412.09 391.659 1449.24  391.659  639.191 772.904  2387.04 2649.72  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.2703 4.2703 4.2703 1.72944 0.00752868  1.59998 1.59998 1.59998 4.65334 4.65334 4.65334 1.6 0.206042  0 0 0 0 0 0 0 0 391.659
1 1927 TIME 1 1411.58 1411.58 391.485 1449.17  391.485  638.972 772.612  2386.56 2649.11  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.27062 4.27062 4.27062 1.72944 0.00753126  1.59998 1.59998 1.59998 4.65376 4.65376 4.65376 1.6 0.206106  0 0 0 0 0 0 0 0 391.485
1 1928 TIME 1 1411.17 1411.17 391.338 1449.11  391.338  638.796 772.373  2386.2 2648.64  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.27092 4.27092 4.27092 1.72944 0.00753332  1.59998 1.59998 1.59998 4.65414 4.65414 4.65414 1.6 0.206158  0 0 0 0 0 0 0 0 391.338
1 1929 TIME 1 1410.84 1410.84 391.218 1449.06  391.218  638.656 772.18  2385.92 2648.27  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.27116 4.27116 4.27116 1.72944 0.00753529  1.69998 1.69998 1.69998 4.94533 4.94533 4.94533 1.7 0.219096  0 0 0 0 0 0 0 0 391.218
1 1930 TIME 1 1410.47 1410.47 391.092 1449.01  391.092  638.5 771.969  2385.59 2647.84  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.27139 4.27139 4.27139 1.72944 0.00753744  1.79998 1.79998 1.79998 5.23655 5.23655 5.23655 1.8 0.232046  0 0 0 0 0 0 0 0 391.092
1 1931 TIME 1 1410.07 1410.07 390.956 1448.96  390.956  638.33 771.741  2385.22 2647.37  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.27168 4.27168 4.27168 1.72944 0.00753882  1.59998 1.59998 1.59998 4.6551 4.6551 4.6551 1.6 0.206296  0 0 0 0 0 0 0 0 390.956
1 1932 TIME 1 1409.96 1409.96 390.905 1448.94  390.905  638.286 771.669  2385.17 2647.28  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.32251 1.32251 1.32251 3.26678 3.26678 3.26678 1.32251 0.00576378  1.29998 1.29998 1.29998 3.78252 3.78252 3.78252 1.3 0.167578  0 0 0 0 0 0 0 0 390.905
1 1933 TIME 1 1410.56 1410.56 391.091 1449.01  391.091  638.566 771.998  2385.89 2648.11  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.22078 1.22078 1.22078 3.01544 3.01544 3.01544 1.22078 0.00531752  1.09999 1.09999 1.09999 3.20046 3.20046 3.20046 1.1 0.141722  0 0 0 0 0 0 0 0 391.091
1 1934 TIME 1 1411.39 1411.39 391.366 1449.12  391.366  638.937 772.449  2386.77 2649.16  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.52598 1.52598 1.52598 3.7689 3.7689 3.7689 1.52598 0.00664505  1.49998 1.49998 1.49998 4.36363 4.36363 4.36363 1.5 0.193214  0 0 0 0 0 0 0 0 391.366
1 1935 TIME 1 1411.37 1411.37 391.394 1449.13  391.394  638.927 772.442  2386.65 2649.05  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.62771 1.62771 1.62771 4.01996 4.01996 4.01996 1.62771 0.00708879  1.59998 1.59998 1.59998 4.65432 4.65432 4.65432 1.6 0.206118  0 0 0 0 0 0 0 0 391.394
1 1936 TIME 1 1411.14 1411.14 391.335 1449.11  391.335  638.822 772.318  2386.36 2648.7  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.72944 1.72944 1.72944 4.27115 4.27115 4.27115 1.72944 0.00753397  1.79998 1.79998 1.79998 5.2361 5.2361 5.2361 1.8 0.231948  0 0 0 0 0 0 0 0 391.335
1 1937 TIME 1 1410.64 1410.64 391.174 1449.05  391.174  638.596 772.042  2385.8 2648.04  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1.9329 1.9329 1.9329 4.77377 4.77377 4.77377 1.93291 0.00842458  1.99997 1.99997 1.99997 5.81815 5.81815 5.81815 2 0.257845  0 0 0 0 0 0 0 0 391.174
1 1938 TIME 1 1409.82 1409.82 390.9 1448.93  390.9  638.23 771.588  2384.94 2647  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.03464 2.03464 2.03464 5.02545 5.02545 5.02545 2.03464 0.00887326  1.99997 1.99997 1.99997 5.81883 5.81883 5.81883 2 0.257988  0 0 0 0 0 0 0 0 390.9
1 1939 TIME 1 1409.04 1409.04 390.625 1448.82  390.625  637.887 771.155  2384.19 2646.08  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.13637 2.13637 2.13637 5.27726 5.27726 5.27726 2.13637 0.00932252  2.09997 2.09997 2.09997 6.11054 6.11054 6.11054 2.1 0.271039  0 0 0 0 0 0 0 0 390.625
1 1940 TIME 1 1408.21 1408.21 390.331 1448.71  390.331  637.522 770.69  2383.4 2645.1  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.2381 2.2381 2.2381 5.52919 5.52919 5.52919 2.2381 0.00977267  2.19997 2.19997 2.19997 6.40241 6.40241 6.40241 2.2 0.284115  0 0 0 0 0 0 0 0 390.331
1 1941 TIME 1 1407.34 1407.34 390.023 1448.58  390.023  637.141 770.198  2382.58 2644.07  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.44156 2.44156 2.44156 6.03256 6.03256 6.03256 2.44156 0.010669  2.39997 2.39997 2.39997 6.98542 6.98542 6.98542 2.4 0.310161  0 0 0 0 0 0 0 0 390.023
1 1942 TIME 1 1406.23 1406.23 389.642 1448.43  389.642  636.657 769.577  2381.51 2642.75  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.44156 2.44156 2.44156 6.03345 6.03345 6.03345 2.44156 0.0106774  2.49997 2.49997 2.49997 7.2778 7.2778 7.2778 2.5 0.323321  0 0 0 0 0 0 0 0 389.642
1 1943 TIME 1 1405.23 1405.23 389.288 1448.28  389.288  636.222 769.009  2380.59 2641.58  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.74676 2.74676 2.74676 6.7886 6.7886 6.7886 2.74676 0.0120225  2.69996 2.69996 2.69996 7.86133 7.86133 7.86133 2.7 0.349473  0 0 0 0 0 0 0 0 389.288
