stock_name,depletion,autocorrS,autocorrR,num_yrs,region
arrowtooth_flounder_bsai,0.2652216678953392,0.9673045381725591,0.6404757347767552,43,BSAI
atka_mackerel_bsai,0.4392753716204357,0.8433324800505597,0.12784028759009336,43,BSAI
blackspotted_rougheye_bsai,0.8031668330302326,0.7762516480176899,0.3045006014172238,19,BSAI
blackspotted_rougheye_goa,0.6102167761225906,0.9213753707341608,0.03662081046801745,44,GOA
dusky_goa,0.23327600328735387,0.6925541806812775,0.07899454250068517,41,GOA
greenland_turbot,0.14023173957191995,0.9605102470729011,0.5520591685002031,40,BSAI
kamchatka_flounder,0.6760195527395022,0.9601538496237395,0.4211477009589769,29,BSAI
northern_rock_sole,0.0998698992171438,0.9585684732316923,0.6102502966919243,45,BSAI
ns_rock_sole_goa,0.6890036887980562,0.9098431082468418,0.4320944736144532,44,GOA
northern_rockfish_goa,0.32348696064179877,0.9197977148575267,0.5317804644015202,43,GOA
pacific_cod_ebs,0.28022225327310596,0.909658225127031,-0.13829928937160374,43,BSAI
pacific_cod_goa,0.19917318397301878,0.9469482512692833,0.3937900546225909,42,GOA
pollock_ebs,0.21323492991232848,0.9137008075222166,0.14314218578844662,56,BSAI
pollock_goa,0.2973898160034232,0.8531898777430817,0.1503728233723691,43,GOA
pop_bsai,0.29720241057112845,0.9618609591481827,-0.18086825610372217,40,BSAI
pop_goa,0.1584294585174007,0.9629347348691697,0.27041907403836996,43,GOA
sablefish_alaska,0.40572585309427417,0.9429247848935942,0.050380348206797106,41,BSAI
yellowfin_sole_bsai,0.07384295078612314,0.9869302629160839,0.27100929864669754,66,BSAI
