Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 SSB_vir_LH ABC_buffer
1 1910 TIME 1 376966 356102 152712 13154.5  152712  183544 172558  78325 99219.5  209.218 198.907 196.316 102.541 95.4366 93.5628 196.316 0.00198656  0 0 0 0 0 0 0 0  15.24 14.4798 13.7146 11.4165 9.9926 8.53313 13.7146 0.000181509 152712 NA
1 1911 TIME 1 374772 354106 151831 13022.6  151831  182451 171655  77837.4 98679.1  268.104 254.896 251.577 131.38 122.28 119.881 251.577 0.00256466  0 0 0 0 0 0 0 0  16.7342 15.9016 15.0636 12.5229 10.9638 9.36568 15.0636 0.000200685 151831 NA
1 1912 TIME 1 372457 351993 150890 12887  150890  181286 170707  77318.5 98112.4  326.988 310.885 306.839 160.21 149.117 146.193 306.839 0.00315293  0 0 0 0 0 0 0 0  18.2277 17.3231 16.4126 13.6271 11.9333 10.1973 16.4126 0.000220182 150890 NA
1 1913 TIME 1 370023 349764 149890 12745.1  149890  180050 169714  76769.6 97519.9  385.87 366.874 362.101 189.034 175.95 172.5 362.101 0.00375229  0 0 0 0 0 0 0 0  19.7204 18.7442 17.7616 14.7287 12.9011 11.028 17.7616 0.000240022 149890 NA
1 1914 TIME 1 367472 347423 148831 12595.6  148831  178744 168678  76192.2 96902.3  444.751 422.862 417.362 217.852 202.778 198.804 417.362 0.00436358  0 0 0 0 0 0 0 0  21.2119 20.1646 19.1105 15.8269 13.8666 11.8575 19.1105 0.000260229 148831 NA
1 1915 TIME 1 364804 344973 147715 12442.9  147715  177373 167599  75587.6 96260.6  503.474 478.701 472.476 246.592 229.532 225.036 472.476 0.00498605  0 0 0 0 0 0 0 0  22.3299 21.2306 20.124 16.6435 14.5862 12.4777 20.124 0.000276238 147715 NA
1 1916 TIME 1 362021 342416 146545 12291.8  146545  175938 166478  74956.5 95594.8  1372.36 1304.85 1287.88 672.119 625.626 613.372 1287.88 0.0137531  0 0 0 0 0 0 0 0  29.1995 27.7651 26.3213 21.7458 19.062 16.3114 26.3213 0.000364694 146545 NA
1 1917 TIME 1 358368 338999 144861 12132.2  144861  173877 165122  74052.9 94791  1806.15 1717.26 1694.92 884.679 823.461 807.324 1694.92 0.0183838  0 0 0 0 0 0 0 0  317.645 302.066 286.385 236.423 207.275 177.403 286.385 0.00401432 144861 NA
1 1918 TIME 1 354001 334914 142821 11972.9  142821  171390 163524  72968.4 93844.8  2860.04 2719.17 2683.77 1401.3 1304.26 1278.68 2683.77 0.0296827  0 0 0 0 0 0 0 0  174.194 165.648 157.046 129.668 113.676 97.2855 157.046 0.0022317 142821 NA
1 1919 TIME 1 348777 329931 140221 11807.3  140221  168234 161697  71600.8 92767  979.525 931.221 919.083 480.161 446.876 438.1 919.083 0.0103342  0 0 0 0 0 0 0 0  116.939 111.203 105.429 87.0535 76.3206 65.3209 105.429 0.00151678 140221 NA
1 1920 TIME 1 345374 326759 138705 11644.1  138705  166436 160323  70846.3 91963.4  668.261 635.291 627.007 327.652 304.934 298.945 627.007 0.00711956  0 0 0 0 0 0 0 0  272.589 259.257 245.839 202.72 177.785 152.23 245.839 0.00357308 138705 NA
1 1921 TIME 1 342093 323747 137334 11479  137334  164801 158946  70155.1 91157.5  902.088 857.593 846.413 442.272 411.618 403.539 846.413 0.00970414  0 0 0 0 0 0 0 0  356.79 339.396 321.889 265.025 232.493 199.152 321.889 0.00472987 137334 NA
1 1922 TIME 1 338474 320406 135808 11317.7  135808  162955 157452  69360.3 90277.9  757.98 720.617 711.229 371.533 345.8 339.019 711.229 0.00823602  0 0 0 0 0 0 0 0  93.6734 89.1168 84.5305 69.5218 60.9999 52.2663 84.5305 0.00125561 135808 NA
