Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  Spbio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 SPB_vir_LH
1 1914 VIRG 1 6108.92 6108.92 2626.09 765.686  2626.09  3293.5 2815.41  11130.9 10511.8 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2626.09
1 1915 INIT 1 6108.92 6108.92 2626.09 765.686  2626.09  3293.5 2815.41  11130.9 10511.8  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 2626.09
1 1916 TIME 1 6109.02 6109.02 2626.09 776.796  2626.09  3293.55 2815.46  11136.5 10517.4  0.0861886 0.0861886 0.0763606 0.219225 0.219225 0.174575 0.0763605 1.58684e-005  0 0 0 0 0 0 0 0 2626.09
1 1917 TIME 1 6109.04 6109.04 2626.05 777.148  2626.05  3293.56 2815.48  11141.9 10522.8  0.134861 0.134861 0.119483 0.343029 0.343029 0.273161 0.119483 2.48302e-005  0 0 0 0 0 0 0 0 2626.05
1 1918 TIME 1 6109.08 6109.08 2625.99 777.506  2625.99  3293.58 2815.5  11147.2 10528.2  0.152816 0.152816 0.13539 0.388702 0.388702 0.309528 0.13539 2.81366e-005  0 0 0 0 0 0 0 0 2625.99
1 1919 TIME 1 6109.21 6109.21 2625.92 777.87  2625.92  3293.64 2815.58  11152.6 10533.5  0.104726 0.104726 0.0927841 0.266387 0.266387 0.212122 0.092784 1.92826e-005  0 0 0 0 0 0 0 0 2625.92
1 1920 TIME 1 6109.52 6109.52 2625.87 778.24  2625.87  3293.79 2815.73  11158 10538.8  0.108346 0.108346 0.0959906 0.275605 0.275605 0.219453 0.0959906 1.99494e-005  0 0 0 0 0 0 0 0 2625.87
1 1921 TIME 1 6109.97 6109.97 2625.83 778.615  2625.83  3294.01 2815.96  11163.4 10544.2  0.089952 0.089952 0.0796927 0.228828 0.228828 0.182193 0.0796927 1.65625e-005  0 0 0 0 0 0 0 0 2625.83
1 1922 TIME 1 6110.6 6110.6 2625.8 778.998  2625.8  3294.33 2816.27  11168.8 10549.6  0.0782139 0.0782139 0.0692915 0.198985 0.198985 0.158414 0.0692914 1.4401e-005  0 0 0 0 0 0 0 0 2625.8
1 1923 TIME 1 6111.39 6111.39 2625.78 779.387  2625.78  3294.73 2816.66  11174.2 10554.9  0.0869573 0.0869573 0.0770339 0.221254 0.221254 0.176117 0.0770339 1.60102e-005  0 0 0 0 0 0 0 0 2625.78
