Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 F:_4 SSB_vir_LH ABC_buffer
1 1968 VIRG 1 632.595 621.027 335.008 0  335.008  386.287 234.739  155.955 125.809 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  335.008 NA
1 1969 INIT 1 632.595 621.027 335.008 0  335.008  386.287 234.739  155.955 125.809  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 335.008 NA
1 1970 TIME 1 632.595 621.027 335.008 107.558  335.008  386.287 234.739  155.955 125.809  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 335.008 NA
1 1971 TIME 1 632.596 621.027 335.008 107.558  335.008  386.287 234.739  155.955 125.809  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1 1 1 0.331925 0.331925 0.331925 1 0.0018628  0.3 0.3 0.3 0.3138 0.3138 0.3138 0.3 0.00206376 335.008 NA
1 1972 TIME 1 631.324 619.755 334.32 107.534  334.32  385.499 234.256  155.644 125.556  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  2.1 2.1 2.1 0.697057 0.697057 0.697057 2.1 0.00392413  0.6 0.6 0.6 0.627963 0.627963 0.627963 0.6 0.00413867 334.32 NA
1 1973 TIME 1 628.777 617.21 332.898 107.485  332.898  383.91 233.3  155.07 125.099  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  3.1 3.1 3.1 1.02913 1.02913 1.02913 3.1 0.00582291  0.899999 0.899999 0.899999 0.943005 0.943005 0.943005 0.9 0.00623243 332.898 NA
1 1974 TIME 1 625.179 613.618 330.842 107.413  330.842  381.656 231.962  154.299 124.492  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  4.2 4.2 4.2 1.39477 1.39477 1.39477 4.2 0.00794518  1.2 1.2 1.2 1.25932 1.25932 1.25932 1.2 0.00835045 330.842 NA
1 1975 TIME 1 620.578 609.025 328.165 107.318  328.165  378.756 230.269  153.346 123.752  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  4.6 4.6 4.6 1.52846 1.52846 1.52846 4.6 0.00877417  1.5 1.5 1.5 1.577 1.577 1.577 1.5 0.0104939 328.165 NA
1 1976 TIME 1 615.746 604.203 325.333 107.216  325.333  375.704 228.499  152.363 122.988  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  10.8 10.8 10.8 3.59237 3.59237 3.59237 10.8 0.0208796  1.7 1.7 1.7 1.79294 1.79294 1.79294 1.7 0.0119912 325.333 NA
1 1977 TIME 1 605.673 594.141 319.238 106.992  319.238  369.233 224.908  150.401 121.545  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  8.8 8.8 8.8 2.93239 2.93239 2.93239 8.8 0.0172886  2 2 2 2.11735 2.11735 2.11735 2 0.014227 319.238 NA
1 1978 TIME 1 598.318 586.81 314.72 106.82  314.72  364.489 222.321  149.021 120.525  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  20.8 20.8 20.8 6.9486 6.9486 6.9486 20.8 0.0418349  2.3 2.3 2.3 2.44783 2.44783 2.44783 2.3 0.0165776 314.72 NA
1 1979 TIME 1 580.862 569.373 304.023 106.397  304.023  353.181 216.192  145.654 118.095  0 0 0 0 0 0 0 0  0.1 0.1 0.1 0.0304259 0.0304259 0.0304259 0.1 0.000236086  7.3 7.3 7.3 2.44647 2.44647 2.44647 7.3 0.0149817  2.6 2.6 2.6 2.77967 2.77967 2.77967 2.6 0.0189115 304.023 NA
1 1980 TIME 1 577.241 565.888 301.695 67.6061  301.695  350.837 215.05  145.102 117.686  0 0 0 0 0 0 0 0  0.03 0.03 0.03 0.00914119 0.00914119 0.00914119 0.03 7.12152e-05  5.5 5.5 5.5 1.8462 1.8462 1.8462 5.5 0.0113412  2.7 2.7 2.7 2.88599 2.88599 2.88599 2.7 0.0196853 301.695 NA
1 1981 TIME 1 571.806 564.453 300.794 102.5  300.794  349.864 214.589  144.808 117.436  0 0 0 0 0 0 0 0  0.15 0.15 0.15 0.0456947 0.0456947 0.0456947 0.15 0.000360526  14.7 14.7 14.7 4.92798 4.92798 4.92798 14.7 0.0306893  3.7 3.7 3.7 3.58576 3.58576 3.58576 3.7 0.0289519 300.794 NA
1 1982 TIME 1 550.315 539.337 293.421 82.2116  293.421  335.384 203.953  130.658 104.741  0 0 0 0 0 0 0 0  0.07 0.07 0.07 0.0211824 0.0211824 0.0211824 0.07 0.000173043  15 15 15 4.97326 4.97326 4.97326 15 0.0323525  1.5 1.5 1.5 1.57843 1.57843 1.57843 1.5 0.0124431 293.421 NA
1 1983 TIME 1 531.501 522.643 283.046 88.5549  283.046  324.949 197.694  131.215 105.959  0 0 0 0 0 0 0 0  0.34 0.34 0.34 0.102446 0.102446 0.102446 0.34 0.000868799  11 11 11 3.63435 3.63435 3.63435 11 0.0246008  1.7 1.7 1.7 1.75755 1.75755 1.75755 1.7 0.0143104 283.046 NA
1 1984 TIME 1 516.482 506.927 274.412 101.293  274.412  315.377 191.55  125.938 101.468  0 0 0 0 0 0 0 0  1.22 1.22 1.22 0.367488 0.367488 0.367488 1.22 0.00321786  11.3 11.3 11.3 3.73714 3.73714 3.73714 11.3 0.0260702  1.1 1.1 1.1 1.15248 1.15248 1.15248 1.1 0.0094581 274.412 NA
1 1985 TIME 1 503.939 493.109 265.976 73.1189  265.976  306.603 186.507  123.826 100.016  0 0 0 0 0 0 0 0  2.76 2.76 2.76 0.832845 0.832845 0.832845 2.76 0.00749222  6.3 6.3 6.3 2.09018 2.09018 2.09018 6.3 0.0149395  3.1 3.1 3.1 3.39232 3.39232 3.39232 3.1 0.0263549 265.976 NA
1 1986 TIME 1 494.919 486.942 259.728 120.771  259.728  302.223 184.719  125.697 102.04  0 0 0 0 0 0 0 0  5.32 5.32 5.32 1.61262 1.61262 1.61262 5.32 0.0149116  11.5 11.5 11.5 3.84091 3.84091 3.84091 11.5 0.0280698  5.39999 5.39999 5.39999 5.53268 5.53268 5.53268 5.4 0.0474441 259.728 NA
1 1987 TIME 1 477.835 464.876 249.871 107.39  249.871  288.723 176.153  116.171 93.7155  0 0 0 0 0 0 0 0  6.82 6.82 6.82 2.072 2.072 2.072 6.82 0.0197956  5.9 5.9 5.9 1.97373 1.97373 1.97373 5.9 0.0148975  5 5 5 5.77151 5.77151 5.77151 5 0.0435151 249.871 NA
1 1988 TIME 1 473.568 462.025 242.643 103.833  242.643  285.763 176.263  124.03 101.449  0 0 0 0 0 0 0 0  12.13 12.13 12.13 3.72263 3.72263 3.72263 12.13 0.0366555  14.9 14.9 14.9 5.06368 5.06368 5.06368 14.9 0.0389611  3.6 3.6 3.6 4.14864 4.14864 4.14864 3.6 0.0296696 242.643 NA
1 1989 TIME 1 463.892 452.713 232.15 108.318  232.15  278.276 174.437  124.332 102.481  0 0 0 0 0 0 0 0  7.17 7.17 7.17 2.23868 2.23868 2.23868 7.17 0.0223724  16.9 16.9 16.9 5.86965 5.86965 5.86965 16.9 0.0451358  2.5 2.5 2.5 2.83484 2.83484 2.83484 2.5 0.0202456 232.15 NA
1 1990 TIME 1 462.347 450.806 228.95 61.647  228.95  275.814 174.992  124.455 103.003  0 0 0 0 0 0 0 0  5.52 5.52 5.52 1.74517 1.74517 1.74517 5.52 0.0173768  18.5 18.5 18.5 6.50625 6.50625 6.50625 18.5 0.0495019  2.1 2.1 2.1 2.39487 2.39487 2.39487 2.1 0.0168593 228.95 NA
1 1991 TIME 1 459.308 452.671 228.337 64.3644  228.337  275.906 176.764  126.086 104.79  0 0 0 0 0 0 0 0  8.9 8.9 8.9 2.82824 2.82824 2.82824 8.9 0.0278314  9.8 9.8 9.8 3.45678 3.45678 3.45678 9.8 0.0259887  2 2 2 2.02026 2.02026 2.02026 2 0.01714 228.337 NA
1 1992 TIME 1 450.753 443.827 230.602 65.4444  230.602  271.198 172.63  114.082 93.7077  0 0 0 0 0 0 0 0  7.74 7.74 7.74 2.43476 2.43476 2.43476 7.74 0.0240995  11.6 11.6 11.6 4.01773 4.01773 4.01773 11.6 0.0308522  2 2 2 1.96348 1.96348 1.96348 2 0.0194641 230.602 NA
1 1993 TIME 1 432.549 425.411 226.862 107.409  226.862  261.04 164.372  105.432 86.0579  0.03 0.03 0.03 0.0125916 0.0125916 0.0125916 0.03 0.000111292  1.53 1.53 1.53 0.471744 0.471744 0.471744 1.53 0.00485209  10.3 10.3 10.3 3.47308 3.47308 3.47308 10.3 0.0282906  6.39999 6.39999 6.39999 6.38422 6.38422 6.38422 6.4 0.0689185 226.862 NA
1 1994 TIME 1 415.403 403.893 219.079 88.9604  219.079  249.411 154.482  98.2956 79.5728  0.04 0.04 0.04 0.0166443 0.0166443 0.0166443 0.04 0.000159941  7.48 7.48 7.48 2.27126 2.27126 2.27126 7.48 0.024857  11.9 11.9 11.9 3.95145 3.95145 3.95145 11.9 0.0345865  2 2 2 2.35635 2.35635 2.35635 2 0.0208233 219.079 NA
1 1995 TIME 1 404.567 395.028 206.593 76.4413  206.593  243.043 151.985  106.255 87.5899  0.03 0.03 0.03 0.0131066 0.0131066 0.0131066 0.03 0.000121307  6.12 6.12 6.12 1.87265 1.87265 1.87265 6.12 0.0213398  9.8 9.8 9.8 3.31574 3.31574 3.31574 9.8 0.0296977  1.6 1.6 1.6 1.84107 1.84107 1.84107 1.6 0.0153031 206.593 NA
1 1996 TIME 1 402.645 394.386 201.733 91.8505  201.733  241.719 152.667  107.577 88.9707  0.07 0.07 0.07 0.0313613 0.0313613 0.0313613 0.07 0.000276401  6.04 6.04 6.04 1.87998 1.87998 1.87998 6.04 0.0214534  10.2 10.2 10.2 3.52899 3.52899 3.52899 10.2 0.0310766  1.4 1.4 1.4 1.52289 1.52289 1.52289 1.4 0.0133683 201.733 NA
1 1997 TIME 1 401.819 391.983 201.255 73.1367  201.255  239.85 152.133  104.77 86.4817  11.63 11.63 11.63 5.18664 5.18664 5.18664 11.63 0.0470936  10.79 10.79 10.79 3.38817 3.38817 3.38817 10.79 0.0396159  16.7 16.7 16.7 5.81775 5.81775 5.81775 16.7 0.0523277  2 2 2 2.26605 2.26605 2.26605 2 0.0196461 201.255 NA
1 1998 TIME 1 379.59 371.757 188.957 59.007  188.957  226.876 144.881  102.625 85.2317  24.82 24.82 24.82 11.1477 11.1477 11.1477 24.82 0.106393  3.96 3.96 3.96 1.2497 1.2497 1.2497 3.96 0.0155232  12.8 12.8 12.8 4.48344 4.48344 4.48344 12.8 0.0427452  1.1 1.1 1.1 1.21346 1.21346 1.21346 1.1 0.0113906 188.957 NA
1 1999 TIME 1 353.527 346.812 176.965 215.965  176.965  212.088 134.724  94.6454 78.1986  25.1 25.1 25.1 11.2349 11.2349 11.2349 25.1 0.114928  3.21 3.21 3.21 1.01372 1.01372 1.01372 3.21 0.013448  10.1 10.1 10.1 3.53605 3.53605 3.53605 10.1 0.0360322  0.799999 0.799999 0.799999 0.845225 0.845225 0.845225 0.8 0.0092137 176.965 NA
1 2000 TIME 1 342.627 319.535 165.821 157.118  165.821  196.22 123.315  84.722 69.4028  29.75 29.75 29.75 13.4474 13.4474 13.4474 29.75 0.149033  3.62 3.62 3.62 1.14763 1.14763 1.14763 3.62 0.0165198  13 13 13 4.58914 4.58914 4.58914 13 0.0505594  1.1 1.1 1.1 1.71031 1.71031 1.71031 1.1 0.0100501 165.821 NA
1 2001 TIME 1 357.293 340.592 152.01 72.3962  152.01  204.894 135.698  123.383 105.962  47.01 47.01 47.01 24.3218 24.3218 24.3218 47.01 0.21585  2.55 2.55 2.55 0.856739 0.856739 0.856739 2.55 0.0125002  12.1 12.1 12.1 4.65844 4.65844 4.65844 12.1 0.0487482  3.6 3.6 3.6 4.9716 4.9716 4.9716 3.6 0.0256933 152.01 NA
1 2002 TIME 1 365.984 358.004 150.859 154.915  150.859  212.841 145.162  129.117 111.119  47.62 47.62 47.62 25.1338 25.1338 25.1338 47.62 0.195207  1.62 1.62 1.62 0.5725 0.5725 0.5725 1.62 0.00782421  15.4 15.4 15.4 6.213 6.213 6.213 15.4 0.0588693  2.2 2.2 2.2 2.47467 2.47467 2.47467 2.2 0.0170071 150.859 NA
1 2003 TIME 1 362.958 346.528 158.007 55.4282  158.007  206.806 139.722  107.634 90.9668  27.34 27.34 27.34 13.5857 13.5857 13.5857 27.34 0.112239  1.55 1.55 1.55 0.543957 0.543957 0.543957 1.55 0.00708169  16.1 16.1 16.1 6.34109 6.34109 6.34109 16.1 0.0586963  1.4 1.4 1.4 1.81839 1.81839 1.81839 1.4 0.0114367 158.007 NA
1 2004 TIME 1 372.232 366.185 165.819 91.7137  165.819  217.787 148.398  121.912 104.205  28.04 28.04 28.04 10.97 10.97 10.97 28.04 0.0936993  1.61 1.61 1.61 0.559482 0.559482 0.559482 1.61 0.00702875  17.3 17.3 17.3 6.43119 6.43119 6.43119 17.3 0.061528  0.699999 0.699999 0.699999 0.755643 0.755643 0.755643 0.7 0.0060086 165.819 NA
1 2005 TIME 1 368.172 358.301 170.044 94.2497  170.044  213.437 144.864  103.63 87.6398  29.51 29.51 29.51 11.3633 11.3633 11.3633 29.51 0.0976257  1.49 1.49 1.49 0.508587 0.508587 0.508587 1.49 0.00638118  17.8 17.8 17.8 6.52766 6.52766 6.52766 17.8 0.0623677  1.2 1.2 1.2 1.35278 1.35278 1.35278 1.2 0.0116217 170.044 NA
1 2006 TIME 1 355.337 345.141 167.025 118.971  167.025  205.803 139.338  100.079 84.9798  22.79 22.79 22.79 8.52722 8.52722 8.52722 22.79 0.0782002  0.8 0.8 0.8 0.267386 0.267386 0.267386 0.8 0.00346764  15.8 15.8 15.8 5.64709 5.64709 5.64709 15.8 0.0569924  1.4 1.4 1.4 1.65536 1.65536 1.65536 1.4 0.0139235 167.025 NA
1 2007 TIME 1 352.59 339.84 163.419 98.8419  163.419  202.707 137.134  99.9094 85.0449  22.71 22.71 22.71 8.46028 8.46028 8.46028 22.71 0.0799859  0.7 0.7 0.7 0.2326 0.2326 0.2326 0.7 0.00309658  16.2 16.2 16.2 5.74518 5.74518 5.74518 16.2 0.0600869  1.3 1.3 1.3 1.6433 1.6433 1.6433 1.3 0.0121251 163.419 NA
