stock_name,depletion,autocorrS,autocorrR,num_yrs,log_sigmaR_full,log_sigmaR_test,regime_shift,detectable_SR
aurora,0.6072407649796394,0.9678952256784045,0.7178363999324873,50,0.3108906299100652,0.3445364460865805,0,0
black_ca,0.12852296928331713,0.9745232401389767,0.4890582433842864,57,0.4075083647821855,0.4166234233816944,0,2
black_wa,0.4870681332498803,0.9704115556539973,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0
bocaccio,0.18342420937840787,0.9816863282837299,0.2879194188165396,51,1.0966843625183573,0.8055782003906546,1,2
cabezon_ncs,0.34573494751195694,0.969014685498315,0.3981403470319112,56,0.2747989415239297,0.3225618620870881,0,0
cabezon_ors,0.6442881828453099,0.9014210978912263,0.02731277727805868,28,0.3385356909792844,NA,0,0
cabezon_scs,0.3348630076522436,0.9062402779637015,-0.01842200889964505,48,0.4787072550538505,0.4074113689298781,0,0
canary,0.22933989601303584,0.9630257964660103,0.12594646268753093,54,0.7573804314319451,0.910444333922671,1,1
chilipepper,0.34801029637686526,0.9473868882455045,-0.08071326863813964,49,1.0080064654919703,1.0895460957670196,1,0
darkblotched,0.19561981603639322,0.9656055469500707,-0.09556055924754905,56,0.6080786861814581,0.7706441140669545,0,2
dover_sole,0.7487194359884911,0.9445049374227427,0.561454604540974,45,0.2378433151843301,0.2436446249628382,0,0
kelp_greenling,0.5193386843107877,0.8892046326984765,0.45095751002496975,34,0.5320581669436004,0.7973365775353788,0,0
lingcod_n,0.32286398152067686,0.9639715820482893,0.4098211211745565,60,0.3960814957308491,0.3303346854434424,0,0
lingcod_s,0.4073133422564367,0.8945842299825885,0.36651706377454885,40,0.5839702438751408,0.3978643421676554,0,2
petrale_sole,0.18505965051896858,0.918311997571998,0.41222889486914466,59,0.3451777170414163,0.3820930755848978,0,1
sablefish,0.39964212797155524,0.9793330746430544,-0.0027643537449667356,95,0.939764610069183,1.1213513598142844,1,0
splitnose,0.41811906516931885,0.9567007801314436,0.6430623511722652,48,0.8176293723632648,0.8958920568794264,1,0
widow,0.3569743783246229,0.9546424312522974,0.022033609805268226,48,0.7823739423014187,0.9566229909083058,0,0
yelloweye,0.2506408641404229,0.8868184382853228,0.5154597037668223,36,0.4879843480107684,0.3185666032623825,0,2
