year,recruits,sbiomass
1960,32438,111248
1961,48406,107000
1962,86664,94558
1963,184864,78620
1964,383089,69323
1965,424147,58791
1966,231398,56197
1967,108699,54458
1968,58807,54235
1969,39037,58831
1970,32273,74201
1971,32891,107167
1972,41351,153297
1973,65614,196930
1974,127860,236434
1975,227332,257040
1976,161443,265413
1977,105778,262630
1978,58484,264568
1979,20148,256717
1980,6969,248476
1981,1164,239487
1982,2119,233940
1983,3480,234918
1984,6698,236369
1985,22414,243465
1986,5789,249279
1987,6158,251811
1988,6336,249159
1989,16992,243145
1990,4188,231378
1991,1196,215029
1992,762,201287
1993,600,190065
1994,934,175048
1995,3785,160134
1996,1653,146988
1997,1632,135207
1998,2095,123080
1999,8208,109919
2000,9512,99430
2001,11705,88200
2002,1714,78824
2003,600,71013
2004,492,64103
2005,695,58455
2006,6119,53287
2007,18415,49612
2008,42573,46914
2009,26270,44804
2010,4557,41852
2011,3134,38477
2012,1201,35194
2013,1129,32020
2014,909,32201
2015,1066,34940
2016,1136,39500
2017,1347,44725
2018,2162,48898
2019,4997,52010
2020,6838,52902
