year,recruits,rec_cv,sbiomass,sbio_cv,stock_name
1964,6554000000,0.38,553,0.27,pollock_ebs
1965,21536000000,0.25,655,0.23,pollock_ebs
1966,15341000000,0.32,761,0.22,pollock_ebs
1967,25831000000,0.26,954,0.19,pollock_ebs
1968,22257000000,0.28,1178,0.19,pollock_ebs
1969,26220000000,0.26,1436,0.18,pollock_ebs
1970,23559000000,0.27,1669,0.18,pollock_ebs
1971,14515000000,0.33,1757,0.17,pollock_ebs
1972,11893000000,0.33,1663,0.17,pollock_ebs
1973,27239000000,0.19,1396,0.18,pollock_ebs
1974,20278000000,0.19,1040,0.21,pollock_ebs
1975,17710000000,0.18,886,0.2,pollock_ebs
1976,14137000000,0.17,903,0.16,pollock_ebs
1977,15435000000,0.14,949,0.13,pollock_ebs
1978,27339000000,0.1,977,0.12,pollock_ebs
1979,63868000000,0.06,975,0.11,pollock_ebs
1980,25906000000,0.09,1126,0.09,pollock_ebs
1981,32595000000,0.08,1820,0.06,pollock_ebs
1982,17262000000,0.1,2712,0.05,pollock_ebs
1983,49586000000,0.06,3341,0.05,pollock_ebs
1984,13493000000,0.1,3601,0.05,pollock_ebs
1985,32162000000,0.06,3866,0.05,pollock_ebs
1986,12208000000,0.1,4057,0.04,pollock_ebs
1987,6697000000,0.1,4123,0.04,pollock_ebs
1988,5634000000,0.1,4032,0.03,pollock_ebs
1989,11662000000,0.07,3552,0.03,pollock_ebs
1990,49829000000,0.03,2810,0.03,pollock_ebs
1991,26038000000,0.05,2075,0.04,pollock_ebs
1992,22119000000,0.06,2213,0.03,pollock_ebs
1993,46156000000,0.04,3123,0.03,pollock_ebs
1994,15289000000,0.06,3472,0.03,pollock_ebs
1995,10478000000,0.07,3669,0.03,pollock_ebs
1996,22828000000,0.05,3688,0.03,pollock_ebs
1997,30874000000,0.04,3521,0.03,pollock_ebs
1998,15135000000,0.06,3206,0.03,pollock_ebs
1999,16358000000,0.05,3230,0.03,pollock_ebs
2000,25388000000,0.04,3245,0.03,pollock_ebs
2001,35124000000,0.04,3261,0.03,pollock_ebs
2002,23389000000,0.04,3064,0.03,pollock_ebs
2003,14286000000,0.05,3215,0.03,pollock_ebs
2004,6546000000,0.07,3311,0.03,pollock_ebs
2005,4656000000,0.08,3039,0.03,pollock_ebs
2006,11694000000,0.06,2494,0.03,pollock_ebs
2007,25255000000,0.04,2071,0.03,pollock_ebs
2008,14108000000,0.06,1546,0.04,pollock_ebs
2009,53119000000,0.04,1636,0.04,pollock_ebs
2010,23884000000,0.06,1885,0.04,pollock_ebs
2011,14913000000,0.08,2296,0.04,pollock_ebs
2012,13270000000,0.09,2693,0.04,pollock_ebs
2013,57241000000,0.08,3044,0.04,pollock_ebs
2014,57254000000,0.09,2978,0.05,pollock_ebs
2015,13282000000,0.16,3100,0.06,pollock_ebs
2016,6396000000,0.24,3975,0.07,pollock_ebs
2017,9690000000,0.25,4495,0.08,pollock_ebs
2018,18415000000,0.19,4033,0.09,pollock_ebs
2019,19131000000,0.22,3637,0.11,pollock_ebs
2020,18177000000,0.22,2961,0.12,pollock_ebs
