year,sbiomass,recruits,stock_name
1979,9381,2139,dusky_goa
1980,9085,6613,dusky_goa
1981,8727,4802,dusky_goa
1982,8411,3912,dusky_goa
1983,8240,1687,dusky_goa
1984,8208,8858,dusky_goa
1985,8512,1866,dusky_goa
1986,9306,3439,dusky_goa
1987,10300,2131,dusky_goa
1988,11397,10148,dusky_goa
1989,12062,5987,dusky_goa
1990,12559,18929,dusky_goa
1991,13352,12841,dusky_goa
1992,14181,11107,dusky_goa
1993,14312,2921,dusky_goa
1994,14941,7924,dusky_goa
1995,16173,5699,dusky_goa
1996,17939,17341,dusky_goa
1997,20165,3082,dusky_goa
1998,22267,9539,dusky_goa
1999,23817,19122,dusky_goa
2000,24438,2328,dusky_goa
2001,25248,12008,dusky_goa
2002,26399,14696,dusky_goa
2003,27512,6412,dusky_goa
2004,28828,8665,dusky_goa
2005,30412,8623,dusky_goa
2006,32151,3665,dusky_goa
2007,33709,3801,dusky_goa
2008,34688,5458,dusky_goa
2009,35314,6187,dusky_goa
2010,35869,7417,dusky_goa
2011,36014,13312,dusky_goa
2012,36081,12342,dusky_goa
2013,35205,8534,dusky_goa
2014,34642,24358,dusky_goa
2015,34271,2522,dusky_goa
2016,34375,2688,dusky_goa
2017,34680,2757,dusky_goa
2018,35741,2593,dusky_goa
2019,100277,2088,dusky_goa
2020,98099,2223,dusky_goa
