year,recruits,sbiomass,stock_name
1980,6969,248476,greenland_turbot
1981,1164,239487,greenland_turbot
1982,2119,233940,greenland_turbot
1983,3480,234918,greenland_turbot
1984,6698,236369,greenland_turbot
1985,22414,243465,greenland_turbot
1986,5789,249279,greenland_turbot
1987,6158,251811,greenland_turbot
1988,6336,249159,greenland_turbot
1989,16992,243145,greenland_turbot
1990,4188,231378,greenland_turbot
1991,1196,215029,greenland_turbot
1992,762,201287,greenland_turbot
1993,600,190065,greenland_turbot
1994,934,175048,greenland_turbot
1995,3785,160134,greenland_turbot
1996,1653,146988,greenland_turbot
1997,1632,135207,greenland_turbot
1998,2095,123080,greenland_turbot
1999,8208,109919,greenland_turbot
2000,9512,99430,greenland_turbot
2001,11705,88200,greenland_turbot
2002,1714,78824,greenland_turbot
2003,600,71013,greenland_turbot
2004,492,64103,greenland_turbot
2005,695,58455,greenland_turbot
2006,6119,53287,greenland_turbot
2007,18415,49612,greenland_turbot
2008,42573,46914,greenland_turbot
2009,26270,44804,greenland_turbot
2010,4557,41852,greenland_turbot
2011,3134,38477,greenland_turbot
2012,1201,35194,greenland_turbot
2013,1129,32020,greenland_turbot
2014,909,32201,greenland_turbot
2015,1066,34940,greenland_turbot
2016,1136,39500,greenland_turbot
2017,1347,44725,greenland_turbot
2018,2162,48898,greenland_turbot
2019,4997,52010,greenland_turbot
2020,6838,52902,greenland_turbot
