method,coverage_prob,stock_name,type
simplex,0.9354838709677419,chilipepper,short
PELT,0.8387096774193549,chilipepper,short
mean,0.7368421052631579,darkblotched,short
AR(1),0.6578947368421053,darkblotched,short
Beverton-Holt,0.7105263157894737,darkblotched,short
simplex,0.7368421052631579,darkblotched,short
HMM,0.6842105263157895,darkblotched,short
PELT,0.7894736842105263,darkblotched,short
mean,0.7777777777777778,dover_sole,short
AR(1),0.8518518518518519,dover_sole,short
Beverton-Holt,0.7777777777777778,dover_sole,short
simplex,0.8888888888888888,dover_sole,short
HMM,0.8148148148148148,dover_sole,short
PELT,0.7407407407407407,dover_sole,short
mean,0.75,kelp_greenling,short
AR(1),0.75,kelp_greenling,short
Beverton-Holt,0.6875,kelp_greenling,short
simplex,0.75,kelp_greenling,short
HMM,0.75,kelp_greenling,short
PELT,0.75,kelp_greenling,short
mean,0.9047619047619048,lingcod_n,short
AR(1),0.9047619047619048,lingcod_n,short
Beverton-Holt,0.9047619047619048,lingcod_n,short
simplex,0.8809523809523809,lingcod_n,short
HMM,0.8333333333333334,lingcod_n,short
PELT,0.8333333333333334,lingcod_n,short
mean,1,lingcod_s,short
AR(1),1,lingcod_s,short
Beverton-Holt,0.9090909090909091,lingcod_s,short
simplex,1,lingcod_s,short
PELT,0.8181818181818182,lingcod_s,short
mean,0.8780487804878049,petrale,short
AR(1),0.8780487804878049,petrale,short
Beverton-Holt,0.8536585365853658,petrale,short
simplex,0.9024390243902439,petrale,short
PELT,0.8536585365853658,petrale,short
mean,0.84375,sablefish,short
AR(1),0.8125,sablefish,short
Beverton-Holt,0.84375,sablefish,short
simplex,0.84375,sablefish,short
PELT,0.875,sablefish,short
mean,0.6333333333333333,splitnose,short
AR(1),0.6333333333333333,splitnose,short
Beverton-Holt,0.6333333333333333,splitnose,short
simplex,0.7666666666666667,splitnose,short
HMM,0.6666666666666666,splitnose,short
PELT,0.7,splitnose,short
mean,0.8666666666666667,widow,short
AR(1),0.8666666666666667,widow,short
Beverton-Holt,0.8666666666666667,widow,short
simplex,0.8666666666666667,widow,short
PELT,0.8,widow,short
mean,0.9444444444444444,yelloweye,short
AR(1),0.9444444444444444,yelloweye,short
Beverton-Holt,0.8888888888888888,yelloweye,short
simplex,0.9444444444444444,yelloweye,short
HMM,0.8333333333333334,yelloweye,short
PELT,0.8888888888888888,yelloweye,short
mean,1,arrowtooth_flounder_bsai,long
AR(1),0.88,arrowtooth_flounder_bsai,long
Beverton-Holt,1,arrowtooth_flounder_bsai,long
simplex,1,arrowtooth_flounder_bsai,long
PELT,0.76,arrowtooth_flounder_bsai,long
HMM,0.84,arrowtooth_flounder_bsai,long
mean,0.96,atka_mackerel_bsai,long
AR(1),0.96,atka_mackerel_bsai,long
Beverton-Holt,0.96,atka_mackerel_bsai,long
simplex,0.96,atka_mackerel_bsai,long
PELT,0.96,atka_mackerel_bsai,long
HMM,0.8,atka_mackerel_bsai,long
mean,1,blackspotted_rougheye_goa,long
AR(1),1,blackspotted_rougheye_goa,long
Beverton-Holt,0.9615384615384616,blackspotted_rougheye_goa,long
simplex,1,blackspotted_rougheye_goa,long
PELT,0.9615384615384616,blackspotted_rougheye_goa,long
mean,1,dusky_goa,long
AR(1),1,dusky_goa,long
Beverton-Holt,0.8695652173913043,dusky_goa,long
simplex,1,dusky_goa,long
PELT,0.8695652173913043,dusky_goa,long
HMM,0.5652173913043478,dusky_goa,long
mean,0.9545454545454546,greenland_turbot,long
AR(1),0.8181818181818182,greenland_turbot,long
Beverton-Holt,0.9090909090909091,greenland_turbot,long
simplex,1,greenland_turbot,long
PELT,0.8636363636363636,greenland_turbot,long
HMM,0.7727272727272727,greenland_turbot,long
mean,1,kamchatka_flounder,long
AR(1),1,kamchatka_flounder,long
Beverton-Holt,1,kamchatka_flounder,long
simplex,1,kamchatka_flounder,long
PELT,0.9090909090909091,kamchatka_flounder,long
HMM,0.7272727272727273,kamchatka_flounder,long
mean,0.8518518518518519,northern_rock_sole,long
AR(1),0.6296296296296297,northern_rock_sole,long
Beverton-Holt,0.5555555555555556,northern_rock_sole,long
simplex,0.8518518518518519,northern_rock_sole,long
PELT,0.4444444444444444,northern_rock_sole,long
mean,0.76,northern_rockfish_goa,long
AR(1),0.72,northern_rockfish_goa,long
Beverton-Holt,0.76,northern_rockfish_goa,long
simplex,0.84,northern_rockfish_goa,long
PELT,0.64,northern_rockfish_goa,long
HMM,0.64,northern_rockfish_goa,long
mean,0.7307692307692307,ns_rock_sole_goa,long
AR(1),0.6923076923076923,ns_rock_sole_goa,long
Beverton-Holt,0.7307692307692307,ns_rock_sole_goa,long
simplex,0.8076923076923077,ns_rock_sole_goa,long
PELT,0.8076923076923077,ns_rock_sole_goa,long
HMM,0.5769230769230769,ns_rock_sole_goa,long
mean,1,pacific_cod_ebs,long
AR(1),1,pacific_cod_ebs,long
Beverton-Holt,1,pacific_cod_ebs,long
simplex,0.92,pacific_cod_ebs,long
PELT,1,pacific_cod_ebs,long
HMM,0.72,pacific_cod_ebs,long
mean,0.7083333333333334,pacific_cod_goa,long
AR(1),0.5833333333333334,pacific_cod_goa,long
Beverton-Holt,0.6666666666666666,pacific_cod_goa,long
simplex,0.875,pacific_cod_goa,long
PELT,0.4583333333333333,pacific_cod_goa,long
mean,0.868421052631579,pollock_ebs,long
AR(1),0.868421052631579,pollock_ebs,long
Beverton-Holt,0.868421052631579,pollock_ebs,long
simplex,0.8947368421052632,pollock_ebs,long
PELT,0.868421052631579,pollock_ebs,long
mean,0.64,pollock_goa,long
AR(1),0.6,pollock_goa,long
Beverton-Holt,0.64,pollock_goa,long
simplex,0.84,pollock_goa,long
PELT,0.76,pollock_goa,long
HMM,0.8,pollock_goa,long
mean,0.9545454545454546,pop_bsai,long
AR(1),0.9545454545454546,pop_bsai,long
Beverton-Holt,1,pop_bsai,long
simplex,1,pop_bsai,long
PELT,0.9545454545454546,pop_bsai,long
mean,0.92,pop_goa,long
AR(1),0.68,pop_goa,long
Beverton-Holt,0.96,pop_goa,long
simplex,1,pop_goa,long
PELT,0.92,pop_goa,long
HMM,0.64,pop_goa,long
mean,0.9130434782608695,sablefish_alaska,long
AR(1),0.9130434782608695,sablefish_alaska,long
Beverton-Holt,0.8695652173913043,sablefish_alaska,long
simplex,0.8695652173913043,sablefish_alaska,long
PELT,0.8260869565217391,sablefish_alaska,long
HMM,0.6086956521739131,sablefish_alaska,long
mean,0.9583333333333334,yellowfin_sole_bsai,long
AR(1),0.8958333333333334,yellowfin_sole_bsai,long
simplex,0.9583333333333334,yellowfin_sole_bsai,long
PELT,0.8125,yellowfin_sole_bsai,long
HMM,0.7916666666666666,yellowfin_sole_bsai,long
mean,0.53125,aurora,long
AR(1),0.34375,aurora,long
Beverton-Holt,0.5,aurora,long
simplex,0.78125,aurora,long
HMM,0.3125,aurora,long
PELT,0.5625,aurora,long
mean,0.7692307692307693,black_ca,long
AR(1),0.7435897435897436,black_ca,long
Beverton-Holt,0.717948717948718,black_ca,long
simplex,0.8461538461538461,black_ca,long
PELT,0.6923076923076923,black_ca,long
mean,0.8043478260869565,black_wa,long
AR(1),0.782608695652174,black_wa,long
Beverton-Holt,0.782608695652174,black_wa,long
simplex,0.8260869565217391,black_wa,long
HMM,0.6739130434782609,black_wa,long
PELT,0.8695652173913043,black_wa,long
mean,0.9696969696969697,bocaccio,long
AR(1),0.9393939393939394,bocaccio,long
Beverton-Holt,0.9696969696969697,bocaccio,long
simplex,0.9696969696969697,bocaccio,long
PELT,0.8484848484848485,bocaccio,long
mean,0.7894736842105263,cabezon_ncs,long
AR(1),0.7894736842105263,cabezon_ncs,long
Beverton-Holt,0.7368421052631579,cabezon_ncs,long
simplex,0.9210526315789473,cabezon_ncs,long
HMM,0.6578947368421053,cabezon_ncs,long
PELT,0.8421052631578947,cabezon_ncs,long
mean,1,cabezon_ors,long
AR(1),1,cabezon_ors,long
Beverton-Holt,1,cabezon_ors,long
simplex,1,cabezon_ors,long
PELT,1,cabezon_ors,long
mean,0.9666666666666667,cabezon_scs,long
